(2000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0016746254>)
(3000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00047480836>)
(4000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00029806833>)
(5000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0005460387>)
(6000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0015494141>)
(7000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00073919387>)
(8000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00041757835>)
(9000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0008350087>)
(10000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00029027322>)
(11000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0003344927>)
(12000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00090644805>)
(13000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00082632067>)
(14000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0049142465>)
(15000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00047630013>)
(1000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0010391362>)
(2000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0010843694>)
(3000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00044912525>)
(4000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0001950283>)
(5000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00045160425>)
(6000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0008931891>)
(7000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0023452225>)
(8000, <tf.Tensor: shape=(), dtype=float32, numpy=0.001414187>)
(9000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00022432681>)
(10000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0006169423>)
(11000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0014949939>)
(12000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0005479462>)
(13000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00029084057>)
(14000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0021042326>)
(15000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00036204283>)
(1000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0029983348>)
(2000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0027692127>)
(3000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0032620544>)
(4000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0049818903>)
(5000, <tf.Tensor: shape=(), dtype=float32, numpy=0.001006983>)
(6000, <tf.Tensor: shape=(), dtype=float32, numpy=0.035014354>)
(7000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0017311239>)
(8000, <tf.Tensor: shape=(), dtype=float32, numpy=0.002402568>)
(9000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0021492052>)
(10000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0013459912>)
(11000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0013631742>)
(12000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0018326634>)
(13000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00063362345>)
(14000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00066268205>)
(15000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0007771113>)
(1000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0028227966>)
(2000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0010049288>)
(3000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0012947635>)
(4000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00027426681>)
(5000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0006309299>)
(6000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0021660249>)
(7000, <tf.Tensor: shape=(), dtype=float32, numpy=0.005671166>)
(8000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00082097726>)
(9000, <tf.Tensor: shape=(), dtype=float32, numpy=0.005140084>)
(10000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0014096433>)
(11000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00013302526>)
(12000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00038951117>)
(13000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0011570725>)
(14000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0028425183>)
(15000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00042306347>)
(1000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0012556181>)
(2000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0014031455>)
(3000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0031522848>)
(4000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0015672621>)
(5000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00042522722>)
(6000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00022736556>)
(7000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00430269>)
(8000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0017112992>)
(9000, <tf.Tensor: shape=(), dtype=float32, numpy=0.001607077>)
(10000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0027960006>)
(11000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0005167224>)
(12000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0013799719>)
(13000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00020554147>)
(14000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0005572279>)
(15000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0004151877>)
(1000, <tf.Tensor: shape=(), dtype=float32, numpy=0.002052499>)
(2000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0008934038>)
(3000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00023757407>)
(4000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00040032656>)
(5000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0009520353>)
(6000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0023115063>)
(7000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0021555743>)
(8000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0010661792>)
(9000, <tf.Tensor: shape=(), dtype=float32, numpy=0.002146071>)
(10000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00096461456>)
(11000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0034458037>)
(12000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00041435>)
(13000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00023198793>)
(14000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00090039533>)
(15000, <tf.Tensor: shape=(), dtype=float32, numpy=0.002495363>)
(1000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0026824954>)
(2000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0030016801>)
(3000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0011123372>)
(4000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00040994922>)
(5000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00028861593>)
(6000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0006045906>)
(7000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0054275664>)
(8000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00052688376>)
(9000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00043025217>)
(10000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00033660763>)
(11000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00081406004>)
(12000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0008201431>)
(13000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00048796058>)
(14000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0008581582>)
(15000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0015828824>)
(1000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0050990013>)
(2000, <tf.Tensor: shape=(), dtype=float32, numpy=0.002817107>)
(3000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0034721587>)
(4000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00782362>)
(5000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0021032668>)
(6000, <tf.Tensor: shape=(), dtype=float32, numpy=0.000940916>)
(7000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0047388305>)
(8000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00048332452>)
(9000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0012915649>)
(10000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00035480293>)
(11000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0024320004>)
(12000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0033190954>)
(13000, <tf.Tensor: shape=(), dtype=float32, numpy=0.004318008>)
(14000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0014514322>)
(15000, <tf.Tensor: shape=(), dtype=float32, numpy=0.003495741>)
(1000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0099538695>)
(2000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0034828652>)
(3000, <tf.Tensor: shape=(), dtype=float32, numpy=0.055002913>)
(4000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00552103>)
(5000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00421824>)
(6000, <tf.Tensor: shape=(), dtype=float32, numpy=0.003635766>)
(7000, <tf.Tensor: shape=(), dtype=float32, numpy=0.008647801>)
(8000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0042943936>)
(9000, <tf.Tensor: shape=(), dtype=float32, numpy=0.010269929>)
(10000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00152677>)
(11000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00077858823>)
(12000, <tf.Tensor: shape=(), dtype=float32, numpy=0.001309477>)
(13000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0008754056>)
(14000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0077066966>)
(15000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0016306997>)
(1000, <tf.Tensor: shape=(), dtype=float32, numpy=0.007999213>)
(2000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0030811685>)
(3000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0020034732>)
(4000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0034227213>)
(5000, <tf.Tensor: shape=(), dtype=float32, numpy=0.058348764>)
(6000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0012282792>)
(7000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0015475407>)
(8000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0051042717>)
(9000, <tf.Tensor: shape=(), dtype=float32, numpy=0.012817978>)
(10000, <tf.Tensor: shape=(), dtype=float32, numpy=0.014689472>)
(11000, <tf.Tensor: shape=(), dtype=float32, numpy=0.43691918>)
(12000, <tf.Tensor: shape=(), dtype=float32, numpy=0.018379854>)
(13000, <tf.Tensor: shape=(), dtype=float32, numpy=0.005911077>)
(14000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0031293235>)
(15000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00076203933>)
(1000, <tf.Tensor: shape=(), dtype=float32, numpy=0.018293254>)
(2000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0027068872>)
(3000, <tf.Tensor: shape=(), dtype=float32, numpy=0.002858927>)
(4000, <tf.Tensor: shape=(), dtype=float32, numpy=0.017374303>)
(5000, <tf.Tensor: shape=(), dtype=float32, numpy=0.003577331>)
(6000, <tf.Tensor: shape=(), dtype=float32, numpy=0.004082531>)
(7000, <tf.Tensor: shape=(), dtype=float32, numpy=0.001999653>)
(8000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0011573613>)
(9000, <tf.Tensor: shape=(), dtype=float32, numpy=0.003312579>)
(10000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0011004424>)
(11000, <tf.Tensor: shape=(), dtype=float32, numpy=0.005763624>)
(12000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00078820693>)
(13000, <tf.Tensor: shape=(), dtype=float32, numpy=0.003573565>)
(14000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0015311539>)
